product_name,main_category_fr,additives_n,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Hand Cooked Potato Chips Mature Cheddar & Caramelized Onion,Chips et frites,4.0,c,2095.0,26.6,2.1,4.5,4.6,6.1,1.30048,8.0
Dutch Chocolate Ice Cream,Glaces,2.0,c,952.0,10.6,6.82,21.2,1.52,3.03,0.212,10.0
Pizza au thon,Surgelés,1.0,c,1052.0,13.5,3.2,3.2,1.9,9.9,1.2,9.0
Miracle Whip Dressing Original,Epicerie,0.0,d,1110.0,23.3,3.33,6.67,0.0,0.0,1.69,14.0
Snack Pack Pudding Vanilla,Desserts,5.0,c,454.0,3.26,1.63,13.0,1.09,1.09,0.304,4.0
Tomato Ketchup,Epicerie,0.0,d,494.0,0.0,0.0,23.5,0.0,0.0,2.39,16.0
2% Chocolate Reduced Fat Milk,Laits,1.0,c,401.0,2.08,1.46,14.2,0.417,4.17,0.233,4.0
Greek Nonfat Yogurt,Yaourts,0.0,a,246.0,0.0,0.0,4.71,0.0,8.24,0.149,-4.0
ketchup ,Epicerie,0.0,d,494.0,0.0,0.0,23.53,0.0,0.0,2.24028,15.0
Cooked Ham,Jambons,3.0,c,450.0,3.57,0.0,0.0,0.0,17.9,1.63,3.0
Tomato Basil Traditional Pasta Sauce,Epicerie,0.0,b,201.0,2.0,0.0,5.6,1.6,1.6,0.874,2.0
Mini penne,Penne,2.0,a,1494.0,1.79,0.0,3.57,3.6,12.5,0.0,-6.0
"Hickory Farms® Our Signature Beef Summer Sausage Natural Hickory Smoke Flavor Added Made with Premium Beef, Semi-Dry",Saucisses,2.0,d,1343.0,15.0,6.0,1.0,0.0,10.0,1.8034,16.0
Cinnamon Schoolbook Cookies,Cookies,3.0,d,1810.0,13.3,6.67,26.7,3.33,6.67,0.593,14.0
Peanut butter bliss,Peanut-butter-bliss,1.0,c,1954.0,18.33,3.33,26.67,5.0,10.0,0.381,9.0
British beef ribeye steak,Viandes,0.0,b,840.0,12.7,5.6,0.0,0.0,21.6,0.1524,2.0
